source_dataset,presbytery_normalized,presbytery_id,canonicalization_status,observed_roster_rows,unique_printed_name_denominator,confirmed_person_count,confirmed_resolution_rate,multi_roster_person_count,multi_roster_rate_among_confirmed
a_faithful_pca_2022-03-14,northern california,northern-california,current_exact,16,16,6,37.50,6,100.00
a_faithful_pca_2022-03-14,northern illinois,northern-illinois,current_exact,2,2,1,50.00,1,100.00
a_faithful_pca_2022-03-14,northern new england,northern-new-england,current_exact,3,3,0,0.00,0,0.00
a_faithful_pca_2022-03-14,ohio,ohio,current_exact,3,3,1,33.33,1,100.00
a_faithful_pca_2022-03-14,ohio valley,ohio-valley,current_exact,14,14,4,28.57,4,100.00
a_faithful_pca_2022-03-14,pacific,pacific,current_exact,7,7,1,14.29,1,100.00
a_faithful_pca_2022-03-14,pacific northwest,pacific-northwest,current_exact,7,7,4,57.14,4,100.00
a_faithful_pca_2022-03-14,palmetto,palmetto,current_exact,5,5,3,60.00,3,100.00
a_faithful_pca_2022-03-14,philadelphia,philadelphia,current_exact,7,7,1,14.29,1,100.00
a_faithful_pca_2022-03-14,philadelphia metro west,philadelphia-metro-west,current_exact,4,4,1,25.00,1,100.00
a_faithful_pca_2022-03-14,piedmont triad,piedmont-triad,current_exact,11,11,6,54.55,6,100.00
a_faithful_pca_2022-03-14,pittsburgh,pittsburgh,current_exact,12,12,3,25.00,3,100.00
a_faithful_pca_2022-03-14,platte valley,platte-valley,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2022-03-14,potomac,potomac,current_exact,20,20,6,30.00,6,100.00
a_faithful_pca_2022-03-14,providence,providence,current_exact,6,6,0,0.00,0,0.00
a_faithful_pca_2022-03-14,rio grande,rio-grande,current_exact,15,15,4,26.67,4,100.00
a_faithful_pca_2022-03-14,rocky mountain,rocky-mountain,current_exact,21,21,4,19.05,4,100.00
a_faithful_pca_2022-03-14,south coast,south-coast,current_exact,12,12,4,33.33,4,100.00
a_faithful_pca_2022-03-14,south florida,south-florida,current_exact,11,11,1,9.09,1,100.00
a_faithful_pca_2022-03-14,south texas,south-texas,current_exact,28,28,5,17.86,5,100.00
a_faithful_pca_2022-03-14,southern louisiana,southern-louisiana,current_exact,7,7,5,71.43,5,100.00
a_faithful_pca_2022-03-14,southern new england,southern-new-england,current_exact,22,22,7,31.82,7,100.00
a_faithful_pca_2022-03-14,southwest florida,southwest-florida,current_exact,3,3,2,66.67,2,100.00
a_faithful_pca_2022-03-14,suncoast florida,suncoast-florida,current_exact,3,3,0,0.00,0,0.00
a_faithful_pca_2022-03-14,susquehanna valley,susquehanna-valley,current_exact,5,5,2,40.00,2,100.00
a_faithful_pca_2022-03-14,tennessee valley,tennessee-valley,current_exact,20,20,2,10.00,2,100.00
a_faithful_pca_2022-03-14,tidewater,tidewater,current_exact,4,4,1,25.00,1,100.00
a_faithful_pca_2022-03-14,west hudson,west-hudson,current_exact,2,2,0,0.00,0,0.00
a_faithful_pca_2022-03-14,westminster,westminster,current_exact,3,3,1,33.33,1,100.00
a_faithful_pca_2022-03-14,wisconsin,wisconsin,current_exact,5,5,2,40.00,2,100.00
formal_position_2008-overture-9-deaconess-study-minority-report,central carolina,central-carolina,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,chicago metro,chicago-metro,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,covenant,covenant,current_exact,1,1,1,100.00,1,100.00
formal_position_2008-overture-9-deaconess-study-minority-report,eastern canada,eastern-canada,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,eastern carolina,eastern-carolina,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,georgia foothills,georgia-foothills,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,illiana,illiana,current_exact,1,1,1,100.00,1,100.00
formal_position_2008-overture-9-deaconess-study-minority-report,iowa,iowa,current_exact,1,1,1,100.00,1,100.00
formal_position_2008-overture-9-deaconess-study-minority-report,james river,james-river,current_exact,2,2,2,100.00,2,100.00
formal_position_2008-overture-9-deaconess-study-minority-report,louisiana,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,metro new york,metropolitan-new-york,known_alias,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,n new england,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,north texas,north-texas,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,northern illinois,northern-illinois,current_exact,1,1,1,100.00,1,100.00
formal_position_2008-overture-9-deaconess-study-minority-report,philadelphia,philadelphia,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,piedmont triad,piedmont-triad,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,savannah river,savannah-river,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,se louisiana,southern-louisiana,known_alias,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,south florida,south-florida,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,southeast alabama,southeast-alabama,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,susq valley,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,susquehanna valley,susquehanna-valley,current_exact,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,sw florida,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,tennessee valley,tennessee-valley,current_exact,1,1,1,100.00,1,100.00
