dataset_a,dataset_b,roster_a_unique_printed_names,roster_b_unique_printed_names,confirmed_subset_a_count,confirmed_subset_b_count,confirmed_intersection_count,confirmed_union_count,jaccard_similarity,percent_of_confirmed_subset_a_in_b,percent_of_confirmed_subset_b_in_a,confirmed_lower_bound_percent_of_roster_a_in_b,confirmed_lower_bound_percent_of_roster_b_in_a,unresolved_possible_overlap_count
institution_westminster-seminary-california,nae_withdrawal_protest_2022,21,203,0,79,0,79,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,national_partnership_confirmed_members,21,151,0,39,0,39,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,overture_15_minority_2022,21,46,0,0,0,0,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,overture_15_negative_votes_2022,21,199,0,101,0,101,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,overture_37_minority_2021,21,28,0,15,0,15,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,publication_co-laborers-co-heirs-2019,21,26,0,1,0,1,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,publication_heal-us-emmanuel-2016,21,30,0,7,0,7,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,publication_hear-us-emmanuel-2020,21,29,0,3,0,3,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,ruf_campus_catalog_2025,21,414,0,8,0,8,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,ruf_staff_transitions_2026,21,203,0,0,0,0,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-seminary-california,warhurst_protest_2019,21,203,0,92,0,92,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,nae_withdrawal_protest_2022,32,203,0,79,0,79,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,national_partnership_confirmed_members,32,151,0,39,0,39,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,overture_15_minority_2022,32,46,0,0,0,0,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,overture_15_negative_votes_2022,32,199,0,101,0,101,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,overture_37_minority_2021,32,28,0,15,0,15,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,publication_co-laborers-co-heirs-2019,32,26,0,1,0,1,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,publication_heal-us-emmanuel-2016,32,30,0,7,0,7,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,publication_hear-us-emmanuel-2020,32,29,0,3,0,3,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,ruf_campus_catalog_2025,32,414,0,8,0,8,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,ruf_staff_transitions_2026,32,203,0,0,0,0,0.000000,0.00,0.00,0.00,0.00,0
institution_westminster-theological-seminary,warhurst_protest_2019,32,203,0,92,0,92,0.000000,0.00,0.00,0.00,0.00,1
nae_withdrawal_protest_2022,national_partnership_confirmed_members,203,151,79,39,4,114,0.035088,5.06,10.26,1.97,2.65,6
nae_withdrawal_protest_2022,overture_15_minority_2022,203,46,79,0,0,79,0.000000,0.00,0.00,0.00,0.00,0
nae_withdrawal_protest_2022,overture_15_negative_votes_2022,203,199,79,101,53,127,0.417323,67.09,52.48,26.11,26.63,15
nae_withdrawal_protest_2022,overture_37_minority_2021,203,28,79,15,2,92,0.021739,2.53,13.33,0.99,7.14,1
nae_withdrawal_protest_2022,publication_co-laborers-co-heirs-2019,203,26,79,1,0,80,0.000000,0.00,0.00,0.00,0.00,2
nae_withdrawal_protest_2022,publication_heal-us-emmanuel-2016,203,30,79,7,0,86,0.000000,0.00,0.00,0.00,0.00,3
nae_withdrawal_protest_2022,publication_hear-us-emmanuel-2020,203,29,79,3,0,82,0.000000,0.00,0.00,0.00,0.00,0
nae_withdrawal_protest_2022,ruf_campus_catalog_2025,203,414,79,8,0,87,0.000000,0.00,0.00,0.00,0.00,3
nae_withdrawal_protest_2022,ruf_staff_transitions_2026,203,203,79,0,0,79,0.000000,0.00,0.00,0.00,0.00,1
nae_withdrawal_protest_2022,warhurst_protest_2019,203,203,79,92,23,148,0.155405,29.11,25.00,11.33,11.33,6
national_partnership_confirmed_members,overture_15_minority_2022,151,46,39,0,0,39,0.000000,0.00,0.00,0.00,0.00,0
national_partnership_confirmed_members,overture_15_negative_votes_2022,151,199,39,101,8,132,0.060606,20.51,7.92,5.30,4.02,12
national_partnership_confirmed_members,overture_37_minority_2021,151,28,39,15,1,53,0.018868,2.56,6.67,0.66,3.57,6
national_partnership_confirmed_members,publication_co-laborers-co-heirs-2019,151,26,39,1,1,39,0.025641,2.56,100.00,0.66,3.85,1
national_partnership_confirmed_members,publication_heal-us-emmanuel-2016,151,30,39,7,4,42,0.095238,10.26,57.14,2.65,13.33,5
national_partnership_confirmed_members,publication_hear-us-emmanuel-2020,151,29,39,3,1,41,0.024390,2.56,33.33,0.66,3.45,1
national_partnership_confirmed_members,ruf_campus_catalog_2025,151,414,39,8,1,46,0.021739,2.56,12.50,0.66,0.24,0
national_partnership_confirmed_members,ruf_staff_transitions_2026,151,203,39,0,0,39,0.000000,0.00,0.00,0.00,0.00,0
national_partnership_confirmed_members,warhurst_protest_2019,151,203,39,92,17,114,0.149123,43.59,18.48,11.26,8.37,14
overture_15_minority_2022,overture_15_negative_votes_2022,46,199,0,101,0,101,0.000000,0.00,0.00,0.00,0.00,0
overture_15_minority_2022,overture_37_minority_2021,46,28,0,15,0,15,0.000000,0.00,0.00,0.00,0.00,0
overture_15_minority_2022,publication_co-laborers-co-heirs-2019,46,26,0,1,0,1,0.000000,0.00,0.00,0.00,0.00,0
overture_15_minority_2022,publication_heal-us-emmanuel-2016,46,30,0,7,0,7,0.000000,0.00,0.00,0.00,0.00,0
overture_15_minority_2022,publication_hear-us-emmanuel-2020,46,29,0,3,0,3,0.000000,0.00,0.00,0.00,0.00,0
overture_15_minority_2022,ruf_campus_catalog_2025,46,414,0,8,0,8,0.000000,0.00,0.00,0.00,0.00,0
overture_15_minority_2022,ruf_staff_transitions_2026,46,203,0,0,0,0,0.000000,0.00,0.00,0.00,0.00,0
overture_15_minority_2022,warhurst_protest_2019,46,203,0,92,0,92,0.000000,0.00,0.00,0.00,0.00,0
overture_15_negative_votes_2022,overture_37_minority_2021,199,28,101,15,6,110,0.054545,5.94,40.00,3.02,21.43,3
overture_15_negative_votes_2022,publication_co-laborers-co-heirs-2019,199,26,101,1,0,102,0.000000,0.00,0.00,0.00,0.00,2
overture_15_negative_votes_2022,publication_heal-us-emmanuel-2016,199,30,101,7,2,106,0.018868,1.98,28.57,1.01,6.67,5
overture_15_negative_votes_2022,publication_hear-us-emmanuel-2020,199,29,101,3,1,103,0.009709,0.99,33.33,0.50,3.45,2
overture_15_negative_votes_2022,ruf_campus_catalog_2025,199,414,101,8,2,107,0.018692,1.98,25.00,1.01,0.48,7
overture_15_negative_votes_2022,ruf_staff_transitions_2026,199,203,101,0,0,101,0.000000,0.00,0.00,0.00,0.00,0
overture_15_negative_votes_2022,warhurst_protest_2019,199,203,101,92,30,163,0.184049,29.70,32.61,15.08,14.78,13
overture_37_minority_2021,publication_co-laborers-co-heirs-2019,28,26,15,1,0,16,0.000000,0.00,0.00,0.00,0.00,0
overture_37_minority_2021,publication_heal-us-emmanuel-2016,28,30,15,7,0,22,0.000000,0.00,0.00,0.00,0.00,0
overture_37_minority_2021,publication_hear-us-emmanuel-2020,28,29,15,3,0,18,0.000000,0.00,0.00,0.00,0.00,0
overture_37_minority_2021,ruf_campus_catalog_2025,28,414,15,8,0,23,0.000000,0.00,0.00,0.00,0.00,2
overture_37_minority_2021,ruf_staff_transitions_2026,28,203,15,0,0,15,0.000000,0.00,0.00,0.00,0.00,0
overture_37_minority_2021,warhurst_protest_2019,28,203,15,92,7,100,0.070000,46.67,7.61,25.00,3.45,4
publication_co-laborers-co-heirs-2019,publication_heal-us-emmanuel-2016,26,30,1,7,1,7,0.142857,100.00,14.29,3.85,3.33,2
publication_co-laborers-co-heirs-2019,publication_hear-us-emmanuel-2020,26,29,1,3,0,4,0.000000,0.00,0.00,0.00,0.00,3
publication_co-laborers-co-heirs-2019,ruf_campus_catalog_2025,26,414,1,8,0,9,0.000000,0.00,0.00,0.00,0.00,0
publication_co-laborers-co-heirs-2019,ruf_staff_transitions_2026,26,203,1,0,0,1,0.000000,0.00,0.00,0.00,0.00,0
publication_co-laborers-co-heirs-2019,warhurst_protest_2019,26,203,1,92,0,93,0.000000,0.00,0.00,0.00,0.00,2
publication_heal-us-emmanuel-2016,publication_hear-us-emmanuel-2020,30,29,7,3,3,7,0.428571,42.86,100.00,10.00,10.34,1
publication_heal-us-emmanuel-2016,ruf_campus_catalog_2025,30,414,7,8,0,15,0.000000,0.00,0.00,0.00,0.00,1
publication_heal-us-emmanuel-2016,ruf_staff_transitions_2026,30,203,7,0,0,7,0.000000,0.00,0.00,0.00,0.00,0
publication_heal-us-emmanuel-2016,warhurst_protest_2019,30,203,7,92,2,97,0.020619,28.57,2.17,6.67,0.99,5
publication_hear-us-emmanuel-2020,ruf_campus_catalog_2025,29,414,3,8,0,11,0.000000,0.00,0.00,0.00,0.00,0
publication_hear-us-emmanuel-2020,ruf_staff_transitions_2026,29,203,3,0,0,3,0.000000,0.00,0.00,0.00,0.00,0
publication_hear-us-emmanuel-2020,warhurst_protest_2019,29,203,3,92,2,93,0.021505,66.67,2.17,6.90,0.99,1
ruf_campus_catalog_2025,ruf_staff_transitions_2026,414,203,8,0,0,8,0.000000,0.00,0.00,0.00,0.00,70
ruf_campus_catalog_2025,warhurst_protest_2019,414,203,8,92,0,100,0.000000,0.00,0.00,0.00,0.00,2
ruf_staff_transitions_2026,warhurst_protest_2019,203,203,0,92,0,92,0.000000,0.00,0.00,0.00,0.00,1
